Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
M862134574,فیلا,7,6,302,1100000,جنوب,طيبة,مكتب الاحمدي للعقارات
L397847118,دور,3,3,500,950000,غرب,شبرا,شركة نجمة التميز للعقارات
M214804668,فیلا,7,5,200,1100000,جنوب,العزيزية,مكتب الاحمدي للعقارات
M782203632,فیلا,7,6,250,1799999,غرب,ظهرة لبن,مكتب الاحمدي للعقارات
X572884702,فیلا,4,6,212,720000,جنوب,الغنامية,مكتب الاحمدي للعقارات
G434093900,شقة,4,3,168,530000,غرب,الزهرة,مكتب الاحمدي للعقارات
U696667919,فیلا,7,5,200,1150000,جنوب,الدار البيضاء,مكتب الاحمدي للعقارات
R346715321,شقة,3,3,135,1140000,شمال,العارض,مكتب الاحمدي للعقارات
X865616259,فیلا,7,4,200,4000000,شمال,مطار الملك خالد الدولي,مكتب الاحمدي للعقارات
G506675748,فیلا,11,7,250,1100000,جنوب,العزيزية,شركة الخزامى القابضة
J233118921,شقة,5,4,209,730000,جنوب,عكاظ,إسكان سلمان للتسويق العقاري
U527658875,دور,6,4,227,780000,جنوب,العزيزية,إسكان سلمان للتسويق العقاري
P557985808,دور,4,4,214,760000,جنوب,بدر,شركة نجمة التميز للعقارات
T937776138,دور,5,4,143,900000,شرق,الرمال,إسكان سلمان للتسويق العقاري
L630707937,شقة,3,3,182,790000,شرق,الرمال,شركة راكز العقارية
P689568196,شقة,5,3,138,760000,شرق,اليرموك,مؤسسة منازل رائدة العقارية
C879445825,فیلا,7,5,250,1800000,غرب,ظهرة لبن,مكتب الاحمدي للعقارات
E382528629,شقة,3,3,124,580000,غرب,السويدي,شركة نجمة التميز للعقارات
L142025309,دور,5,3,375,970000,شرق,المعيزلة,إسكان سلمان للتسويق العقاري
U750563705,شقة,3,3,131,430000,جنوب,بدر,شركة نجمة التميز للعقارات
V184680884,دور,5,3,375,1160000,شرق,المعيزلة,إسكان سلمان للتسويق العقاري
P184680884,دور,5,3,375,1160000,شرق,المعيزلة,إسكان سلمان للتسويق العقاري
L184680884,دور,5,3,375,1160000,شرق,المعيزلة,إسكان سلمان للتسويق العقاري
L193028192,دور,5,3,168,990000,شرق,الرمال,إسكان سلمان للتسويق العقاري
I646838519,فیلا,18,14,443,1950000,شرق,الجنادرية,إسكان سلمان للتسويق العقاري
I660559469,فیلا,5,5,312,3100000,شمال,العارض,مؤسسة مراة المشاريع العقارية
F400652632,دور,4,3,205,750000,شرق,الجنادرية,سكن المعالي للعقارات
U960229704,دور,3,3,625,2400000,شمال,الياسمين,شركة راكز العقارية
E951828197,دور,3,3,174,1800000,شمال,العليا,شركة راكز العقارية
F815764436,شقة,3,3,122,753000,شرق,القادسية,شركة راكز العقارية
L969603036,شقة,3,3,131,1017000,شرق,الشهداء,شركة راكز العقارية
H873706738,دور,3,4,625,2139000,شمال,الياسمين,شركة راكز العقارية
D458713446,فیلا,5,5,416,5950000,شمال,الملقا,شركة راكز العقارية
A058100334,شقة,3,2,115,505000,غرب,طويق,شركة راكز العقارية
Z293525426,شقة,3,2,1764,849000,شمال,العارض,شركة راكز العقارية
U160357250,شقة,3,2,115,495000,غرب,طويق,شركة راكز العقارية
T760159708,فیلا,4,3,179,1460625,شمال,النرجس,شركة راكز العقارية
B630707937,شقة,3,3,182,790000,شرق,الرمال,شركة راكز العقارية
O500164168,فیلا,5,5,260,3464500,شمال,النرجس,شركة راكز العقارية
Q350504757,فیلا,5,5,270,2800000,شمال,النرجس,شركة همم الخليج العقاريه
B291009880,فیلا,11,6,306,3000000,شمال,الندى,مؤسسة سعود علي عبدالعزيز السقامي للعقارات
P227283547,شقة,3,3,128,550000,غرب,الزهرة,شركة نجمة التميز للعقارات
N625059224,فیلا,8,6,285,1800000,شرق,القادسية,إسكان سلمان للتسويق العقاري
V077214143,فیلا,5,5,550,4500000,شمال,الياسمين,اللحيدان للعقارات
H169903054,فیلا,5,5,240,2800000,شمال,العارض,مؤسسة مراة المشاريع العقارية
Y392963755,فیلا,5,5,525,7850000,شمال,القيروان,مؤسسة مراة المشاريع العقارية
N068128150,فیلا,5,4,358,4750000,شمال,القيروان,مؤسسة مراة المشاريع العقارية
B214804668,فیلا,7,5,200,1100000,جنوب,العزيزية,مكتب الاحمدي للعقارات
G717011063,فیلا,3,3,3283,3750000,شرق,الازدهار,شركة راكز العقارية
U316526741,دور,3,3,143,1499000,شرق,الازدهار,شركة مسكن الين العقارية
O642055663,دور,4,3,115,1799000,شرق,الازدهار,شركة مسكن الين العقارية
S168335658,دور,4,3,184,1400,جنوب,الدار البيضاء,شركة حلول دارك العقارية
N865815090,فیلا,5,5,312,3800000,شمال,القيروان,مؤسسة مراة المشاريع العقارية
G454399021,فیلا,4,4,900,4400000,شمال,النرجس,شركة قصر الرقي العقارية
K874155203,فیلا,5,7,900,4400000,شمال,النرجس,شركة قصر الرقي العقارية
H413613720,دور,3,3,177,950000,شرق,الرمال,مؤسسة الفا البواني العقارية
S687444572,دور,6,6,260,1450000,شرق,الرمال,شركة قصر الرقي العقارية
L890601141,شقة,3,2,85,900000,شمال,العارض,مكتب طريق الاسكان
B184222190,شقة,3,3,127,750000,شرق,اشبيلية,بصمات الرياض العقارية
M380839573,فیلا,5,5,902,9000000,شمال,الملك عبدالله,مكتب سلطان حزام تركي الثابتي الشهري للعقارات
S738734364,فیلا,4,4,250,2400000,شرق,اليرموك,سكن المعالي للعقارات
N785395709,فیلا,5,5,250,2400000,شرق,اليرموك,سكن المعالي للعقارات
E637050772,شقة,3,2,219,650000,جنوب,الدار البيضاء,مكتب الاحمدي للعقارات
B827572344,دور,4,5,621,1700000,شرق,المونسية,مؤسسة وسام المساكن العقارية
E076587430,دور,4,4,621,1700000,شرق,المونسية,مؤسسة وسام المساكن العقارية
