Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
M094741666,شقة,2,2.0,1032.0,610000.0,شرق,القادسية,إسكان سلمان للتسويق العقاري
R219208366,دور,3,4.0,2362.0,1300000.0,شرق,الرمال,مؤسسة وسام المساكن العقارية
P001048877,فیلا,5,6.0,9002.0,9000000.0,شمال,الملقا,مكتب مساكن العاصمة
D357685465,فیلا,5,5.0,3002.0,3400000.0,شمال,الصحافة,شركة راكز العقارية
Q666681674,دور,7,4.0,2052.0,590000.0,جنوب,العزيزية,إسكان سلمان للتسويق العقاري
V191922328,فیلا,4,4.0,1822.0,1280000.0,شرق,الرمال,مكتب شريط للعقارات
R272476809,دور,3,3.0,1682.0,1200000.0,شرق,المونسية,مكتب عبدالله بن فيحان بن محمد العتيبي للعقارات
S314762314,شقة,3,3.0,1662.0,440000.0,جنوب,بدر,شركة نجمة التميز للعقارات
Z227283547,شقة,3,3.0,1282.0,550000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
C271342616,فیلا,4,5.0,4752.0,4700000.0,شمال,الياسمين,شركة راكز العقارية
O065063995,فیلا,8,6.0,4372.0,2800000.0,شرق,المونسية,مكتب الهمم العالية للعقارات
E727594817,دور,3,5.0,3012.0,1700000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
X468237196,شقة,3,4.0,1242.0,580000.0,غرب,السويدي,شركة نجمة التميز للعقارات
I067502048,فیلا,4,6.0,4962.0,4400000.0,شرق,المونسية,مكتب عبدالله بن فيحان بن محمد العتيبي للعقارات
R750563705,شقة,3,3.0,1312.0,430000.0,جنوب,بدر,شركة نجمة التميز للعقارات
G315034386,دور,4,3.0,2142.0,740000.0,جنوب,بدر,شركة نجمة التميز للعقارات
D355129692,دور,3,2.0,6212.0,1500000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
